episode,step,reward,score,length,epsilon,loss
1,31,2.0000000000000013,0,31,0.9997055,nan
2,61,1.9000000000000012,0,30,0.9994205,nan
3,93,2.1000000000000014,0,32,0.9991165,nan
4,126,2.2000000000000015,0,33,0.998803,nan
5,157,2.0000000000000013,0,31,0.9985085,nan
6,188,2.0000000000000013,0,31,0.998214,nan
7,220,2.1000000000000014,0,32,0.99791,nan
8,251,2.0000000000000013,0,31,0.9976155,nan
9,281,1.9000000000000012,0,30,0.9973305,nan
10,314,2.2000000000000015,0,33,0.997017,nan
11,347,2.2000000000000015,0,33,0.9967035,nan
12,377,1.9000000000000012,0,30,0.9964185,nan
13,406,1.8000000000000012,0,29,0.996143,nan
14,438,2.1000000000000014,0,32,0.995839,nan
15,470,2.1000000000000014,0,32,0.995535,nan
16,500,1.9000000000000012,0,30,0.99525,nan
17,530,1.9000000000000012,0,30,0.994965,nan
18,561,2.0000000000000013,0,31,0.9946705,nan
19,591,1.9000000000000012,0,30,0.9943855,nan
20,621,1.9000000000000012,0,30,0.9941005,nan
21,655,2.3000000000000016,0,34,0.9937775,nan
22,685,1.9000000000000012,0,30,0.9934925,nan
23,716,2.0000000000000013,0,31,0.993198,nan
24,745,1.8000000000000012,0,29,0.9929225,nan
25,779,2.3000000000000016,0,34,0.9925995,nan
26,809,1.9000000000000012,0,30,0.9923145,nan
27,842,2.2000000000000015,0,33,0.992001,nan
28,873,2.0000000000000013,0,31,0.9917065,nan
29,903,1.9000000000000012,0,30,0.9914215,nan
30,935,2.1000000000000014,0,32,0.9911175,nan
31,965,1.9000000000000012,0,30,0.9908325,nan
32,995,1.9000000000000012,0,30,0.9905475,nan
33,1027,2.1000000000000014,0,32,0.9902435,nan
34,1058,2.0000000000000013,0,31,0.989949,nan
35,1090,2.1000000000000014,0,32,0.989645,nan
36,1121,2.0000000000000013,0,31,0.9893505,nan
37,1152,2.0000000000000013,0,31,0.989056,nan
38,1183,2.0000000000000013,0,31,0.9887615,nan
39,1213,1.9000000000000012,0,30,0.9884765,nan
40,1252,2.800000000000002,0,39,0.988106,nan
41,1283,2.0000000000000013,0,31,0.9878115,nan
42,1314,2.0000000000000013,0,31,0.987517,nan
43,1345,2.0000000000000013,0,31,0.9872225,nan
44,1380,2.4000000000000017,0,35,0.98689,nan
45,1410,1.9000000000000012,0,30,0.986605,nan
46,1442,2.1000000000000014,0,32,0.986301,nan
47,1472,1.9000000000000012,0,30,0.986016,nan
48,1503,2.0000000000000013,0,31,0.9857215,nan
49,1532,1.8000000000000012,0,29,0.985446,nan
50,1561,1.8000000000000012,0,29,0.9851705,nan
51,1593,2.1000000000000014,0,32,0.9848665,nan
52,1626,2.2000000000000015,0,33,0.984553,nan
53,1657,2.0000000000000013,0,31,0.9842585,nan
54,1687,1.9000000000000012,0,30,0.9839735000000001,nan
55,1716,1.8000000000000012,0,29,0.983698,nan
56,1747,2.0000000000000013,0,31,0.9834035,nan
57,1778,2.0000000000000013,0,31,0.983109,nan
58,1808,1.9000000000000012,0,30,0.982824,nan
59,1838,1.9000000000000012,0,30,0.982539,nan
60,1867,1.8000000000000012,0,29,0.9822635,nan
61,1898,2.0000000000000013,0,31,0.981969,nan
62,1930,2.1000000000000014,0,32,0.981665,nan
63,1960,1.9000000000000012,0,30,0.98138,nan
64,1990,1.9000000000000012,0,30,0.981095,nan
65,2022,2.1000000000000014,0,32,0.980791,nan
66,2053,2.0000000000000013,0,31,0.9804965,nan
67,2083,1.9000000000000012,0,30,0.9802115,nan
68,2114,2.0000000000000013,0,31,0.979917,nan
69,2145,2.0000000000000013,0,31,0.9796225,nan
70,2175,1.9000000000000012,0,30,0.9793375,nan
71,2208,2.2000000000000015,0,33,0.979024,nan
72,2240,2.1000000000000014,0,32,0.97872,nan
73,2270,1.9000000000000012,0,30,0.9784349999999999,nan
74,2302,2.1000000000000014,0,32,0.978131,nan
75,2335,2.2000000000000015,0,33,0.9778175,nan
76,2365,1.9000000000000012,0,30,0.9775325,nan
77,2397,2.1000000000000014,0,32,0.9772285,nan
78,2427,1.9000000000000012,0,30,0.9769435,nan
79,2458,2.0000000000000013,0,31,0.976649,nan
80,2490,2.1000000000000014,0,32,0.976345,nan
81,2521,2.0000000000000013,0,31,0.9760505,nan
82,2551,1.9000000000000012,0,30,0.9757655,nan
83,2582,2.0000000000000013,0,31,0.975471,nan
84,2615,2.2000000000000015,0,33,0.9751575,nan
85,2646,2.0000000000000013,0,31,0.974863,nan
86,2678,2.1000000000000014,0,32,0.974559,nan
87,2708,1.9000000000000012,0,30,0.974274,nan
88,2738,1.9000000000000012,0,30,0.973989,nan
89,2768,1.9000000000000012,0,30,0.973704,nan
90,2800,2.1000000000000014,0,32,0.9734,nan
91,2831,2.0000000000000013,0,31,0.9731055,nan
92,2861,1.9000000000000012,0,30,0.9728205,nan
93,2892,2.0000000000000013,0,31,0.972526,nan
94,2927,2.4000000000000017,0,35,0.9721935,nan
95,2959,2.1000000000000014,0,32,0.9718895,nan
96,2990,2.0000000000000013,0,31,0.971595,nan
97,3025,2.4000000000000017,0,35,0.9712625,nan
98,3057,2.1000000000000014,0,32,0.9709585000000001,nan
99,3089,2.1000000000000014,0,32,0.9706545,nan
100,3120,2.0000000000000013,0,31,0.97036,nan
101,3149,1.8000000000000012,0,29,0.9700845,nan
102,3184,2.4000000000000017,0,35,0.969752,nan
103,3214,1.9000000000000012,0,30,0.969467,nan
104,3245,2.0000000000000013,0,31,0.9691725,nan
105,3279,2.3000000000000016,0,34,0.9688495,nan
106,3310,2.0000000000000013,0,31,0.968555,nan
107,3339,1.8000000000000012,0,29,0.9682795,nan
108,3372,2.2000000000000015,0,33,0.967966,nan
109,3403,2.0000000000000013,0,31,0.9676715,nan
110,3434,2.0000000000000013,0,31,0.967377,nan
111,3464,1.9000000000000012,0,30,0.9670920000000001,nan
112,3495,2.0000000000000013,0,31,0.9667975,nan
113,3525,1.9000000000000012,0,30,0.9665125,nan
114,3558,2.2000000000000015,0,33,0.966199,nan
115,3593,2.4000000000000017,0,35,0.9658665,nan
116,3623,1.9000000000000012,0,30,0.9655815,nan
117,3654,2.0000000000000013,0,31,0.965287,nan
118,3683,1.8000000000000012,0,29,0.9650115,nan
119,3712,1.8000000000000012,0,29,0.964736,nan
120,3744,2.1000000000000014,0,32,0.964432,nan
121,3774,1.9000000000000012,0,30,0.964147,nan
122,3803,1.8000000000000012,0,29,0.9638715,nan
123,3832,1.8000000000000012,0,29,0.963596,nan
124,3862,1.9000000000000012,0,30,0.963311,nan
125,3893,2.0000000000000013,0,31,0.9630165,nan
126,3926,2.2000000000000015,0,33,0.962703,nan
127,3956,1.9000000000000012,0,30,0.962418,nan
128,3988,2.1000000000000014,0,32,0.962114,nan
129,4020,2.1000000000000014,0,32,0.96181,nan
130,4054,2.3000000000000016,0,34,0.961487,nan
131,4089,2.4000000000000017,0,35,0.9611545,nan
132,4119,1.9000000000000012,0,30,0.9608695,nan
133,4150,2.0000000000000013,0,31,0.960575,nan
134,4179,1.8000000000000012,0,29,0.9602995,nan
135,4211,2.1000000000000014,0,32,0.9599955,nan
136,4240,1.8000000000000012,0,29,0.95972,nan
137,4270,1.9000000000000012,0,30,0.959435,nan
138,4302,2.1000000000000014,0,32,0.959131,nan
139,4335,2.2000000000000015,0,33,0.9588175,nan
140,4368,2.2000000000000015,0,33,0.958504,nan
141,4399,2.0000000000000013,0,31,0.9582095,nan
142,4429,1.9000000000000012,0,30,0.9579245,nan
143,4460,2.0000000000000013,0,31,0.95763,nan
144,4492,2.1000000000000014,0,32,0.957326,nan
145,4522,1.9000000000000012,0,30,0.957041,nan
146,4552,1.9000000000000012,0,30,0.956756,nan
147,4581,1.8000000000000012,0,29,0.9564805,nan
148,4614,2.2000000000000015,0,33,0.956167,nan
149,4644,1.9000000000000012,0,30,0.955882,nan
150,4674,1.9000000000000012,0,30,0.955597,nan
151,4705,2.0000000000000013,0,31,0.9553024999999999,nan
152,4735,1.9000000000000012,0,30,0.9550175,nan
153,4766,2.0000000000000013,0,31,0.954723,nan
154,4801,2.4000000000000017,0,35,0.9543905,nan
155,4832,2.0000000000000013,0,31,0.954096,nan
156,4863,2.0000000000000013,0,31,0.9538015,nan
157,4895,2.1000000000000014,0,32,0.9534975,nan
158,4926,2.0000000000000013,0,31,0.953203,nan
159,4956,1.9000000000000012,0,30,0.952918,nan
160,4987,2.0000000000000013,0,31,0.9526235,nan
161,5018,2.0000000000000013,0,31,0.952329,0.008406528271734715
162,5051,2.2000000000000015,0,33,0.9520155,0.011759827844798565
163,5084,2.2000000000000015,0,33,0.951702,0.011758735403418541
164,5114,1.9000000000000012,0,30,0.951417,0.010814729146659374
165,5146,2.1000000000000014,0,32,0.951113,0.015879511833190918
166,5176,1.9000000000000012,0,30,0.950828,0.010676385834813118
167,5205,1.8000000000000012,0,29,0.9505525,0.016214845702052116
168,5238,2.2000000000000015,0,33,0.9502390000000001,0.010024895891547203
169,5268,1.9000000000000012,0,30,0.949954,0.01150781475007534
170,5300,2.1000000000000014,0,32,0.94965,0.0015275863697752357
171,5331,2.0000000000000013,0,31,0.9493555,0.02588682621717453
172,5362,2.0000000000000013,0,31,0.949061,0.0029336761217564344
173,5392,1.9000000000000012,0,30,0.948776,0.001708367490209639
174,5421,1.8000000000000012,0,29,0.9485005,0.013029823079705238
175,5451,1.9000000000000012,0,30,0.9482155,0.019826740026474
176,5481,1.9000000000000012,0,30,0.9479305,0.009609369561076164
177,5514,2.2000000000000015,0,33,0.947617,0.013772190548479557
178,5546,2.1000000000000014,0,32,0.947313,0.004105848725885153
179,5576,1.9000000000000012,0,30,0.947028,0.001811579568311572
180,5612,2.5000000000000018,0,36,0.946686,0.0055983103811740875
181,5641,1.8000000000000012,0,29,0.9464105,0.004094291944056749
182,5673,2.1000000000000014,0,32,0.9461065,0.01128409244120121
183,5704,2.0000000000000013,0,31,0.945812,0.003185628680512309
184,5734,1.9000000000000012,0,30,0.945527,0.0034010859671980143
185,5764,1.9000000000000012,0,30,0.945242,0.005245070438832045
186,5798,2.3000000000000016,0,34,0.9449190000000001,0.002104594837874174
187,5831,2.2000000000000015,0,33,0.9446055,0.0046478863805532455
188,5861,1.9000000000000012,0,30,0.9443205,0.008694479241967201
189,5891,1.9000000000000012,0,30,0.9440355,0.005372974090278149
190,5921,1.9000000000000012,0,30,0.9437505,0.013361671939492226
191,5950,1.8000000000000012,0,29,0.9434750000000001,0.005201751831918955
192,5979,1.8000000000000012,0,29,0.9431995,0.0051385327242314816
193,6010,2.0000000000000013,0,31,0.942905,0.0028706006705760956
194,6039,1.8000000000000012,0,29,0.9426295,0.0012292342726141214
195,6070,2.0000000000000013,0,31,0.942335,0.0067347576841712
196,6100,1.9000000000000012,0,30,0.94205,0.004391265567392111
197,6131,2.0000000000000013,0,31,0.9417555,0.001295683323405683
198,6163,2.1000000000000014,0,32,0.9414515,0.002621255349367857
199,6195,2.1000000000000014,0,32,0.9411475,0.0021529546938836575
200,6224,1.8000000000000012,0,29,0.940872,0.0014984097797423601
