episode,step,reward,score,length,epsilon,loss
1,31,1.6861328125,0,31,0.9997055,nan
2,61,1.71484375,0,30,0.9994205,nan
3,95,2.1155273437499997,0,34,0.9990975,nan
4,126,1.67177734375,0,31,0.998803,nan
5,156,1.5825195312500004,0,30,0.998518,nan
6,186,1.71181640625,0,30,0.998233,nan
7,215,1.54541015625,0,29,0.9979575,nan
8,249,2.003906249999999,0,34,0.9976345,nan
9,280,1.8144531250000004,0,31,0.99734,nan
10,311,1.8277343750000004,0,31,0.9970455,nan
11,340,1.56396484375,0,29,0.99677,nan
12,371,1.7487304687499998,0,31,0.9964755,nan
13,404,2.0208984375,0,33,0.996162,nan
14,434,1.7273437500000002,0,30,0.995877,nan
15,465,1.67734375,0,31,0.9955825,nan
16,499,2.0921875,0,34,0.9952595,nan
17,528,1.6278320312500005,0,29,0.994984,nan
18,559,1.7721679687500007,0,31,0.9946895,nan
19,592,1.9879882812499994,0,33,0.994376,nan
20,623,1.7360351562500003,0,31,0.9940815,nan
21,653,1.5387695312500003,0,30,0.9937965,nan
22,684,1.827734374999999,0,31,0.993502,nan
23,715,1.6517578125000005,0,31,0.9932075,nan
24,748,1.9707031250000004,0,33,0.992894,nan
25,779,1.7640625000000005,0,31,0.9925995,nan
26,809,1.7154296875,0,30,0.9923145,nan
27,841,1.7102539062499997,0,32,0.9920105,nan
28,871,1.7252929687499998,0,30,0.9917255,nan
29,905,1.9974609374999992,0,34,0.9914025,nan
30,935,1.66689453125,0,30,0.9911175,nan
31,965,1.5634765625,0,30,0.9908325,nan
32,995,1.6725585937500003,0,30,0.9905475,nan
33,1028,1.7791992187499992,0,33,0.990234,nan
34,1062,2.00927734375,0,34,0.989911,nan
35,1093,1.6439453124999996,0,31,0.9896165,nan
36,1124,1.783203125,0,31,0.989322,nan
37,1153,1.6428710937500002,0,29,0.9890465,nan
38,1184,1.6322265625,0,31,0.988752,nan
39,1214,1.72802734375,0,30,0.988467,nan
40,1246,1.9137695312500003,0,32,0.988163,nan
41,1278,1.9257812500000004,0,32,0.987859,nan
42,1308,1.7238281249999994,0,30,0.987574,nan
43,1338,1.6422851562500003,0,30,0.987289,nan
44,1369,1.7576171875000002,0,31,0.9869945,nan
45,1399,1.72060546875,0,30,0.9867095,nan
46,1429,1.5721679687499996,0,30,0.9864245,nan
47,1460,1.7093749999999996,0,31,0.98613,nan
48,1490,1.6806640624999996,0,30,0.985845,nan
49,1522,1.7072265625000003,0,32,0.985541,nan
50,1552,1.7199218750000007,0,30,0.985256,nan
51,1582,1.7201171875,0,30,0.984971,nan
52,1615,1.84365234375,0,33,0.9846575,nan
53,1645,1.6973632812500004,0,30,0.9843725,nan
54,1676,1.5919921875000003,0,31,0.984078,nan
55,1707,1.6379882812499997,0,31,0.9837835,nan
56,1738,1.6648437500000002,0,31,0.9834890000000001,nan
57,1767,1.4455078124999998,0,29,0.9832135,nan
58,1796,1.59423828125,0,29,0.982938,nan
59,1828,1.9180664062500008,0,32,0.982634,nan
60,1859,1.6596679687500004,0,31,0.9823395,nan
61,1889,1.7271484375000004,0,30,0.9820545,nan
62,1921,1.9110351562499996,0,32,0.9817505,nan
63,1951,1.4970703124999996,0,30,0.9814655,nan
64,1982,1.8183593749999996,0,31,0.981171,nan
65,2013,1.8197265625,0,31,0.9808765,nan
66,2046,2.0033203125,0,33,0.980563,nan
67,2076,1.6363281250000004,0,30,0.980278,nan
68,2105,1.48525390625,0,29,0.9800025,nan
69,2135,1.611718750000001,0,30,0.9797175,nan
70,2165,1.6907226562500002,0,30,0.9794325,nan
71,2195,1.590234375,0,30,0.9791475,nan
72,2225,1.7308593750000005,0,30,0.9788625,nan
73,2255,1.6460937500000004,0,30,0.9785775,nan
74,2285,1.6858398437499997,0,30,0.9782925,nan
75,2314,1.6364257812500003,0,29,0.978017,nan
76,2344,1.7290039062500004,0,30,0.977732,nan
77,2374,1.612890625,0,30,0.977447,nan
78,2405,1.6779296875000003,0,31,0.9771525,nan
79,2435,1.67978515625,0,30,0.9768675,nan
80,2466,1.8197265625000005,0,31,0.976573,nan
81,2500,1.9523437500000003,0,34,0.97625,nan
82,2533,1.802734375,0,33,0.9759365,nan
83,2566,1.81005859375,0,33,0.975623,nan
84,2597,1.7013671874999998,0,31,0.9753285,nan
85,2627,1.6909179687500004,0,30,0.9750435,nan
86,2657,1.664453125,0,30,0.9747585,nan
87,2687,1.70224609375,0,30,0.9744735,nan
88,2721,2.0462890625,0,34,0.9741505,nan
89,2752,1.6911132812499998,0,31,0.973856,nan
90,2782,1.7072265624999998,0,30,0.973571,nan
91,2815,1.9050781250000002,0,33,0.9732575,nan
92,2844,1.6237304687499998,0,29,0.972982,nan
93,2873,1.4765624999999996,0,29,0.9727065,nan
94,2906,1.8623046875000004,0,33,0.972393,nan
95,2939,2.014550781249999,0,33,0.9720795,nan
96,2971,1.9236328125000006,0,32,0.9717755,nan
97,3001,1.560644531249999,0,30,0.9714905,nan
98,3031,1.64248046875,0,30,0.9712055,nan
99,3062,1.8237304687500004,0,31,0.970911,nan
100,3093,1.7415039062499997,0,31,0.9706165,nan
101,3124,1.82041015625,0,31,0.970322,nan
102,3154,1.7241210937500004,0,30,0.970037,nan
103,3184,1.6857421874999998,0,30,0.969752,nan
104,3213,1.5657226562500002,0,29,0.9694765,nan
105,3246,1.86708984375,0,33,0.969163,nan
106,3277,1.6537109375,0,31,0.9688685,nan
107,3310,1.8018554687499995,0,33,0.968555,nan
108,3340,1.5357421875000004,0,30,0.96827,nan
109,3371,1.74658203125,0,31,0.9679755,nan
110,3401,1.5264648437500004,0,30,0.9676905,nan
111,3432,1.6918945312500004,0,31,0.967396,nan
112,3464,1.9143554687499997,0,32,0.9670920000000001,nan
113,3494,1.5792968750000003,0,30,0.966807,nan
114,3525,1.5872070312500002,0,31,0.9665125,nan
115,3556,1.7287109374999994,0,31,0.966218,nan
116,3586,1.5500976562500006,0,30,0.965933,nan
117,3618,1.91455078125,0,32,0.965629,nan
118,3648,1.6828124999999998,0,30,0.965344,nan
119,3678,1.7230468750000005,0,30,0.965059,nan
120,3711,1.9355468749999996,0,33,0.9647455,nan
121,3741,1.5790039062500005,0,30,0.9644605,nan
122,3773,1.9019531250000004,0,32,0.9641565,nan
123,3805,1.8629882812500003,0,32,0.9638525,nan
124,3835,1.6310546875000003,0,30,0.9635675,nan
125,3870,2.20859375,0,35,0.963235,nan
126,3900,1.6126953125,0,30,0.96295,nan
127,3930,1.6982421875,0,30,0.962665,nan
128,3964,1.8883789062500007,0,34,0.962342,nan
129,3996,1.8426757812500005,0,32,0.962038,nan
130,4026,1.72177734375,0,30,0.961753,nan
131,4055,1.4625,0,29,0.9614775,nan
132,4087,1.89638671875,0,32,0.9611735,nan
133,4117,1.6531250000000002,0,30,0.9608885,nan
134,4149,1.89052734375,0,32,0.9605845,nan
135,4180,1.7384765625000003,0,31,0.96029,nan
136,4210,1.6842773437500003,0,30,0.960005,nan
137,4241,1.8178710937500004,0,31,0.9597105,nan
138,4274,1.8666015624999996,0,33,0.959397,nan
139,4304,1.53076171875,0,30,0.959112,nan
140,4335,1.8079101562500002,0,31,0.9588175,nan
141,4370,2.1925781250000003,0,35,0.958485,nan
142,4401,1.7040039062499996,0,31,0.9581905,nan
143,4432,1.82021484375,0,31,0.957896,nan
144,4464,1.720703125,0,32,0.957592,nan
145,4495,1.7624023437499994,0,31,0.9572975,nan
146,4526,1.6923828124999996,0,31,0.957003,nan
147,4558,1.7555664062500003,0,32,0.956699,nan
148,4589,1.8158203124999996,0,31,0.9564045,nan
149,4619,1.7276367187500004,0,30,0.9561195,nan
150,4650,1.7685546874999991,0,31,0.955825,nan
151,4682,1.8738281249999997,0,32,0.955521,nan
152,4715,2.009765625,0,33,0.9552075,nan
153,4746,1.72021484375,0,31,0.954913,nan
154,4776,1.7193359375000004,0,30,0.954628,nan
155,4810,2.0894531250000004,0,34,0.954305,nan
156,4840,1.7314453125,0,30,0.95402,nan
157,4870,1.6796874999999996,0,30,0.953735,nan
158,4901,1.8322265624999994,0,31,0.9534405,nan
159,4935,1.970703125,0,34,0.9531175000000001,nan
160,4965,1.72607421875,0,30,0.9528325,nan
161,4995,1.5681640625000002,0,30,0.9525475,nan
162,5025,1.7139648437500004,0,30,0.9522625,0.025191694498062134
163,5059,2.0214843750000004,0,34,0.9519395,0.037455394864082336
164,5091,1.7100585937500004,0,32,0.9516355,0.04133821278810501
165,5122,1.6936523437499997,0,31,0.951341,0.010891644284129143
166,5152,1.7232421875000004,0,30,0.951056,0.004658284597098827
167,5182,1.63916015625,0,30,0.950771,0.02095918543636799
168,5215,2.0038085937499996,0,33,0.9504575,0.007147646974772215
169,5245,1.5171875,0,30,0.9501725,0.010522803291678429
170,5281,2.2505859375,0,36,0.9498305,0.031073931604623795
171,5311,1.6203124999999998,0,30,0.9495455,0.02896800823509693
172,5343,1.7338867187500004,0,32,0.9492415,0.0017642598832026124
173,5374,1.6991210937500005,0,31,0.948947,0.016591332852840424
174,5404,1.6028320312499997,0,30,0.948662,0.011116503737866879
175,5436,1.8944335937500005,0,32,0.948358,0.003478486090898514
176,5466,1.6206054687499996,0,30,0.9480729999999999,0.019785629585385323
177,5495,1.6135742187499997,0,29,0.9477975,0.029773324728012085
178,5525,1.7322265625000002,0,30,0.9475125,0.02044215239584446
179,5554,1.6,0,29,0.947237,0.026398060843348503
180,5587,1.9592773437500002,0,33,0.9469235,0.02613915503025055
181,5620,1.7659179687500002,0,33,0.94661,0.018879439681768417
182,5650,1.73291015625,0,30,0.946325,0.014929894357919693
183,5682,1.8412109374999996,0,32,0.946021,0.015136554837226868
184,5713,1.7643554687499998,0,31,0.9457265,0.014223311096429825
185,5745,1.7873046874999998,0,32,0.9454225,0.010640192776918411
186,5779,2.0307617187500004,0,34,0.9450995,0.016809411346912384
187,5810,1.59853515625,0,31,0.944805,0.016387851908802986
188,5841,1.7350585937500003,0,31,0.9445105,0.022167006507515907
189,5871,1.6115234375000007,0,30,0.9442255,0.015484152361750603
190,5900,1.60107421875,0,29,0.94395,0.005152221769094467
191,5929,1.63046875,0,29,0.9436745,0.009383492171764374
192,5961,1.6943359375,0,32,0.9433705,0.012654753401875496
193,5992,1.8002929687500004,0,31,0.943076,0.025134148076176643
194,6022,1.7135742187500003,0,30,0.942791,0.01399095170199871
195,6052,1.6824218750000006,0,30,0.942506,0.007948510348796844
196,6082,1.6920898437500003,0,30,0.942221,0.00046726877917535603
197,6115,1.9948242187500003,0,33,0.9419075,0.002720588119700551
198,6145,1.6899414062499996,0,30,0.9416225,0.008838014677166939
199,6174,1.6263671875,0,29,0.941347,0.003505911212414503
200,6204,1.7083984375,0,30,0.941062,0.007975513115525246
201,6234,1.7067382812499998,0,30,0.940777,0.0065361615270376205
202,6267,2.0234374999999996,0,33,0.9404635,0.007999551482498646
203,6296,1.6137695312499996,0,29,0.940188,0.001299944706261158
204,6331,2.0488281249999996,0,35,0.9398555,0.0017737048910930753
205,6361,1.728515625,0,30,0.9395705,0.0035705268383026123
206,6390,1.4543945312499997,0,29,0.939295,0.010015545412898064
207,6420,1.6601562500000004,0,30,0.93901,0.0036631631664931774
208,6452,1.910546875,0,32,0.938706,0.007858207449316978
209,6485,1.988671875,0,33,0.9383925,0.0017703535268083215
210,6515,1.56455078125,0,30,0.9381075,0.0013420000905171037
211,6545,1.7310546875,0,30,0.9378225,0.005782557651400566
212,6575,1.6196289062499996,0,30,0.9375375,0.00023713783593848348
213,6604,1.63046875,0,29,0.937262,0.007297791540622711
214,6637,2.0060546875,0,33,0.9369485,0.008034039288759232
215,6667,1.7148437500000004,0,30,0.9366635,0.011870497837662697
