episode,step,reward,score,length,epsilon,loss
1,101,8.409754996093746,0,101,0.04997306666666667,nan
2,238,12.672011232421875,1,137,0.04993653333333334,nan
3,387,15.159901521484372,2,149,0.049896800000000005,nan
4,488,8.375111553710937,0,101,0.04986986666666667,nan
5,589,8.034153164062499,0,101,0.04984293333333334,nan
6,837,26.788073696289057,4,248,0.0497768,nan
7,865,1.5382090615234372,0,28,0.04976933333333334,nan
8,973,8.896661259765624,0,108,0.04974053333333334,nan
9,1049,5.778618449218749,0,76,0.04972026666666667,nan
10,1154,8.711421490234377,0,105,0.04969226666666667,nan
11,1345,19.908432712890637,3,191,0.049641333333333336,nan
12,1487,13.451548324218749,1,142,0.04960346666666667,nan
13,1588,8.07528078027344,0,101,0.04957653333333334,nan
14,1850,29.180512046874988,5,262,0.04950666666666667,nan
15,1965,10.540949437500004,1,115,0.049476000000000006,nan
16,1995,1.7190882216796877,0,30,0.049468000000000005,nan
17,2114,11.100496624023439,1,119,0.04943626666666667,0.0023558291140943766
18,2217,8.675137760742187,0,103,0.0494088,0.019577492028474808
19,2444,24.419280879882823,4,227,0.04934826666666667,0.009994832798838615
20,2581,12.794941616210943,1,137,0.04931173333333334,0.005677537061274052
21,2701,11.438784779296878,1,120,0.04927973333333334,0.0021545137278735638
22,2816,10.796356641601562,1,115,0.04924906666666667,0.15219399333000183
23,2953,12.69804581152344,1,137,0.049212533333333336,0.018408868461847305
24,2993,2.57141880859375,0,40,0.04920186666666667,0.003922149073332548
25,3354,41.1317027158203,7,361,0.0491056,0.002998707816004753
26,3474,11.14692717871094,1,120,0.0490736,0.006613215431571007
27,3611,12.829985087890622,1,137,0.04903706666666667,0.19078008830547333
28,3829,22.674175445312507,3,218,0.048978933333333335,0.0069460030645132065
29,4225,45.12150546777342,8,396,0.04887333333333334,0.00710113113746047
30,4376,15.336983107421876,2,151,0.04883306666666667,0.005387186072766781
31,4477,8.001070590820316,0,101,0.048806133333333335,0.04341669753193855
32,4614,12.489530530273438,1,137,0.0487696,0.020946603268384933
33,4681,5.168703122070312,0,67,0.04875173333333334,0.01637577824294567
34,4871,20.15838587890626,3,190,0.04870106666666667,0.012932773679494858
35,4913,2.7481994951171878,0,42,0.04868986666666667,0.001473806332796812
36,4986,5.365042264648438,0,73,0.0486704,0.0025555843021720648
37,5094,9.233592824218752,0,108,0.0486416,0.026441054418683052
38,5210,10.445457875,1,116,0.04861066666666667,0.003988073207437992
39,5316,8.800274315429688,0,106,0.048582400000000005,0.0026196781545877457
